,sentence,aspect_term,polarity,from,to
7523,"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city .",Lucky Strike,positive,86,99
7524,"For the price and quality of the food, the service should have been a lot better than it was.",service,negative,43,50
7525,"When we got there, the wait was just as everyone here has described, Domenico's process was just as described, but the pizza?",wait,neutral,23,27
7526,"Of course this atmosphere is lacking , but what do you expect from a 24 hour bagel place anyways ?",atmosphere,negative,15,25
7527,"We had to wait an hour before our food was served, then another hour inbetween courses, all the while whilst the staff were naughtily hiding in an attempt to avoid our 'where's out food?'",staff,negative,113,118
7528,We had a 3 hour brunch - they definitely do not rush you - and they kept the unlimited mimosas flowing the whole time .,brunch,positive,16,22
7529,"After all that , they complained to me about the small tip .",tip,negative,55,58
7530,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check .,staff,negative,4,9
7531,"When you crave comfort food, make a reservation and head to Piccolo Angolo, they never dissappoint.",reservation,neutral,36,47
7532,"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",lunch,neutral,89,94
7533,"There are deli items and cookies as well, but I just can't tear myself away from the bagels!",bagels,neutral,85,91
7534,(try the Queso Fundido and fire) Upstairs there is a dining room which is decorated with brightly colored mexican theme.,theme,positive,114,119
7535,"Unfortunately it gets very crowded on the weekends, so if you don't mind dining at the bar you can skip the wait for a table.",dining,negative,73,79
7536,We ran a little late for the reservation but it was n't a problem to get our table immediately .,table,positive,77,82
7537,"But the price tag was high, and the food was comparable to a Las Vegas buffet for flavor and quality.",price tag,negative,8,17
7538,The Food Surprisingly tasty Texas-style barbecue gives this place culinary flexibility beyond that of most wrap-and-burrito shacks.,shacks,neutral,124,130
7539,the prices are right and i strongly recommend this place for any time of day: early breakfast or late night snack.,breakfast,neutral,84,93
7540,People at the next table were complaining how horrible their house wine was.,table,neutral,19,24
7541,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,26,41
7542,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,positive,4,10
7543,"However, our one and only complaint was when I received my drink I gave my coupon to our waiter, he returned minutes later to tell me that it could not be used in the dining room, only at the lounge or at the bar.",waiter,negative,89,95
7544,It 's a nice place to relax and have conversation .,place,positive,13,18
7545,"For 2 patrons paying over $100 for dinner, you'd think that the waiter would check to see if everything was okay with the dining experience, and he certainly did not.",dinner,neutral,35,41
7546,"I ordered a dirty martini that was not dirty at all-and when I asked the waitress to make it dirtier, instead of reshaking/making it at the bar, she broght me over some olive juice in a cup!?",martini,negative,18,25
7547,"This restaurant was a great value, even though I know nothing about the prix fixe menu.",prix fixe menu,neutral,72,86
7548,"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.",Paella Vallenciana,neutral,46,64
7549,"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle.",wait,negative,31,35
7550,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,Waitstaff,positive,4,13
7551,"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.",table,neutral,78,83
7552,"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.",entrees,neutral,9,16
7553,"They might be all business at the counter when you give your order, but their food says I love you.",food,positive,78,82
7554,"As for the sides, the grits were more like soupy cheese sauce; the greens were okay.",greens,positive,67,73
7555,"Ignoring the merits of the cuisine (which was par at best), I see no reason why one would pay Da Umberto prices for an okay meal and below average ambience.",meal,positive,124,128
7556,"Because of the delicate thin crust, take-out pies get soggy in their boxes.",crust,positive,29,34
7557,"My friend and I had brunch the coffee was cold, too much worcestershire sauce in the bloody mary.",brunch,neutral,20,26
7558,"The smell was heavenly, and the appearance was great, but the cheese was a little too salty and heavy.",appearance,positive,32,42
7559,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",food,positive,4,8
7560,"When the ice cream cake I ordered didnt hold up in their regular freezers temperature, Giovanny immediately had a server run out and got an identical cake in 15 minutes.",server,positive,114,120
7561,The place is a BISTRO which means : simple dishes and wine served efficiently in a bustling atmosphere .,place,positive,4,9
7562,If the staff actually got it together and showed some customer service this place would be good.,service,neutral,63,70
7563,"The waiters were very professional, courteous and attentive.",waiters,positive,4,11
7564,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,negative,85,89
7565,We thought that this place is using too much of MSG cooking in the foods.,foods,negative,67,72
7566,"A friend and I had a lovely bottle of wine, two appetizers, two main courses and two coffees and we had change from $40.",appetizers,neutral,48,58
7567,Ive personally tried almost everything on the menu and been amazed at the quality and presentation.,presentation,positive,86,98
7568,"Having dined there over a half-dozen I have tried everything on the menu but depending on what night, time and who is taking your order, be prepared for loud, smokey (it is a bar afterall) and herbed waitstaff.",menu,neutral,68,72
7569,"When we mentioned that we had theatre tickets, the waiter made certain that our dishes were served promptly and courteously.",waiter,positive,51,57
7570,My wife and I went to Orsay for Valentine's dinner.,dinner,neutral,44,50
7571,it is a hidden delight complete with a quaint bar and good food.,bar,positive,46,49
7572,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side .,service,negative,91,98
7573,"In the middle of dessert, the waitress silently passes by and drops the check.",waitress,negative,30,38
7574,"I had dinner with my friend, and regardless of our $100 check, I overheard the waiter say that we had been there too long.",dinner,neutral,6,12
7575,"The retaurant is know for the long wait but they do take reservation for group of 5-8 people, so it was just perfect for my friend BD dinner for 3 couples.",reservation,neutral,57,68
